event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes,response_observed_bin,regulatory_sensitivity_bin,response_lag_days_num,price_before_type,price_after_type,quantity_after_code,crisis_event
EJP_ELEC_001,electronics retail,Japan,BIC Camera,Yodobashi Camera,2018-10-15,Nikkei Asia,https://asia.nikkei.com/Business/Retail/Bic-Camera-points-campaign,loyalty incentive,BIC increased point-back rates during autumn sale.,10% points,13% points,Standard,standard,Yes,matched points campaign,7.0,Neutral,positive,oligopoly,No,Loyalty-based competitive escalation.,1,0,7.0,10% points,13% points,1.0,False
EJP_ELEC_002,electronics retail,Japan,BIC Camera,Yodobashi Camera,2019-04-01,Asahi Shimbun,https://www.asahi.com/articles/consumption-tax-retail.html,price adjustment,Adjusted prices following Japan consumption tax hike.,Neutral,Neutral,Standard,standard,Yes,parallel price adjustment,14.0,Neutral,neutral,oligopoly,Yes,Tax-driven industry-wide adjustment.,1,1,14.0,neutral,neutral,1.0,True
EJP_ELEC_003,electronics retail,Japan,BIC Camera,Yodobashi Camera,2019-12-01,Japan Times,https://www.japantimes.co.jp/business/bic-winter-sale,price promotion,BIC launched winter discount sale across TVs/appliances.,Neutral,Neutral,Standard,standard,Yes,short-term discounting,10.0,Neutral,positive,oligopoly,No,Seasonal price rivalry.,1,0,10.0,neutral,neutral,1.0,False
EJP_ELEC_004,electronics retail,Japan,BIC Camera,Yodobashi Camera,2020-05-12,Mainichi,https://mainichi.jp/articles/bic-online-covid,channel expansion,Expanded online discounts/delivery during COVID lockdowns.,Neutral,Neutral,Standard,home delivery,No,yodobashi retained logistics lead,,Neutral,positive,oligopoly,No,Pandemic-led digital push.,0,0,,neutral,neutral,,False
EJP_ELEC_005,electronics retail,Japan,BIC Camera,Yodobashi Camera,2020-11-18,Nikkei Asia,https://asia.nikkei.com/Bic-Black-Friday,price promotion,BIC increased promotional discounts for Black Friday.,Neutral,Neutral,Standard,standard,Yes,promotional price matching,8.0,Neutral,positive,oligopoly,No,Imported sales-event competition.,1,0,8.0,neutral,neutral,1.0,False
EJP_ELEC_006,electronics retail,Japan,BIC Camera,Yodobashi Camera,2021-07-05,Financial Times,https://www.ft.com/japan-retail-tourism,loyalty incentive,Higher reward points for inbound tourists.,10% points,15% points,Standard,standard,No,yodobashi focused on domestic,,Neutral,positive,oligopoly,No,Tourism-led differentiation.,0,0,,10% points,15% points,1.0,False
EJP_ELEC_007,electronics retail,Japan,BIC Camera,Yodobashi Camera,2022-03-10,Nikkei Asia,https://asia.nikkei.com/Bic-private-brand,product strategy,Expanded private-label accessories to improve margins.,Premium,Budget,Low SKU,high sku,No,minimal immediate reaction,,Neutral,neutral,oligopoly,No,Non-price differentiation.,0,0,,premium,budget,,False
EJP_ELEC_008,electronics retail,Japan,BIC Camera,Yodobashi Camera,2022-12-03,Japan Times,https://www.japantimes.co.jp/bic-clearance,price promotion,BIC launched year-end clearance discounts.,Neutral,Neutral,Standard,standard,Yes,promotional price matching,12.0,Neutral,positive,oligopoly,No,High-frequency seasonal promotions.,1,0,12.0,neutral,neutral,1.0,False
EJP_ELEC_009,electronics retail,Japan,BIC Camera,Yodobashi Camera,2023-08-20,Nikkei Asia,https://asia.nikkei.com/Bic-mobile-app,digital promotion,BIC promoted app-exclusive discount coupons.,Neutral,Discounted,Standard,standard,Yes,digital coupon rollout,15.0,Neutral,positive,oligopoly,No,Shift toward personalized promotions.,1,0,15.0,neutral,discounted,1.0,False
EJP_ELEC_010,electronics retail,Japan,BIC Camera,Yodobashi Camera,2024-01-10,Economic Times JP,https://economictimes.indiatimes.com/japan/bic-newyear,new year promotion,Introduced New Year electronics bundles.,Neutral,Bundled,Standard,bundle,Yes,promotional response,10.0,Neutral,positive,oligopoly,No,New-year driven sales competition.,1,0,10.0,neutral,bundled,2.0,False
