event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,no_response_outcome,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes
TIND_001,Telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,2018-01-05,Economic Times,https://economictimes.indiatimes.com/news/company/corporate-trends/tough-2018-for-telcos-as-reliance-jio-price-cut-to-delay-arpu-recovery/articleshow/62432890.cms,Price reduction / data boost,Jio initiated price cuts across several prepaid packs (₹50 cuts or increased data allowances).,10% points,13% points,Standard,Standard,No,No response,0,NA,Increase (for Jio),Positive for Jio,Oligopoly,No,Major disruptive price move; incumbents did not match immediately.
TIND_002,Telecom,India,Bharti Airtel,Reliance Jio,2018-06-12,ETTelecom / Economic Times,https://telecom.economictimes.indiatimes.com/news/reliance-jio-counters-airtel-offers-1-5-gb-additional-data-with-discounts/64558607,New plan / Data boost,Airtel launched new prepaid plans (₹149/₹399 with 1GB/day); Jio responded same day with extra data promotion ('Double Dhamaka').,Neutral,Neutral,Standard,Standard,Yes,Alternative offer / data boost,0,NA,Neutral,Neutral,Oligopoly,No,Same-day competitive data promotions.
TIND_003,Telecom,India,Reliance Jio,Bharti Airtel,2021-01-01,TelecomTalk / news sources,https://telecomtalk.info/airtel-unlimited-calling-benefits-iuc/322384/,Promotion / Free service (IUC removal),"Reliance Jio removed domestic IUC charges, effectively making off‑net voice calls free.",Neutral,Neutral,Standard,Standard,Yes,Partial match / public assurance (Airtel emphasized no change in its unlimited calling),0,NA,Neutral,Neutral,Oligopoly,Yes,IUC removal is TRAI‑sensitive; incumbents publicly reassured customers.
TIND_004,Telecom,India,Bharti Airtel,Reliance Jio,2021-01-04,India Today / news sources,https://www.indiatoday.in/technology/news/story/airtel-offers-1-5gb-daily-data-with-rs-199-prepaid-plan-to-select-customers-to-take-on-jio-1755674-2021-01-04,Quantity increase (data),Airtel upgraded its ₹199 plan to offer 1.5GB/day (matching Jio's offering).,Neutral,Neutral,Standard,Standard,Yes,Match,0,NA,Neutral,Neutral,Oligopoly,No,Feature match to retain competitiveness.
TIND_005,Telecom,India,Bharti Airtel,Vodafone Idea; Reliance Jio,2021-11-26,Economic Times / Reuters,https://economictimes.indiatimes.com/industry/telecom/telecom-news/jio-announces-new-unlimited-plans-days-after-airtel-voda-hiked-tariffs/articleshow/87965077.cms?from=mdr,Tariff hike (price increase),Airtel announced ~20–25% tariff hikes on prepaid plans; Vodafone Idea followed next day and Jio introduced pricier plans shortly after.,Neutral,Neutral,Standard,Standard,Yes,Match,1,NA,Neutral,Neutral/Negative for price-sensitive customers,Oligopoly,No,Coordinated industry tariff increases over a short window.
TIND_006,Telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,2024-07-03,Reuters / Economic Times,https://www.reuters.com/business/media-telecom/indias-bharti-airtel-hike-mobile-tariffs-july-3-2024-06-28/,Price hike,Reliance Jio enacted price increases on prepaid/postpaid to support 5G investment; Airtel/Vi raised tariffs in response.,10% points,15% points,Standard,Standard,Yes,Match,1,NA,Neutral,Neutral/Negative,Oligopoly,Yes,Hikes attracted TRAI scrutiny.
TIND_007,Telecom,India,Vodafone Idea,,2024-07-04,ETTelecom / Economic Times,https://telecom.economictimes.indiatimes.com/news/vodafone-idea-hikes-prepaid-prices-launches-new-plans/72316959,Price hike / new plans,Vodafone Idea introduced new prepaid plans up to ~40% costlier and added off‑net call charges; described as a standalone move.,Premium,Budget,Low SKU,High SKU,No,No response,0,NA,Neutral,Neutral,Oligopoly,No,Standalone strategic repricing by Vi.
FIND_001,FMCG,India,Reliance Consumer Products (Campa),Coca‑Cola India,2023-03-24,Reuters,https://www.reuters.com/business/retail-consumer/billionaire-ambani-adopts-familiar-playbook-india-cola-battle-vs-coke-2023-03-24/,New product launch with price cut,"Campa re-launched with deep-discount pricing (e.g., 2L at ₹49; 200ml at ₹10 vs ₹20 for Coca‑Cola).",Neutral,Neutral,Standard,Standard,Yes,Alternative strategy (Coke focused on distribution and ₹10 returnable glass bottles),0,NA,Increase (for Campa in budget segment),Positive for Campa,Competitive,No,Challenger pricing disrupted incumbents in smaller towns.
FIND_002,FMCG,India,PepsiCo (planned response),Reliance Consumer Products (Campa),2024-10-24,Economic Times,https://economictimes.indiatimes.com/industry/cons-products/fmcg/pepsi-and-coca-cola-to-launch-budget-friendly-drinks-as-reliances-campa-gains-ground-in-regional-markets/articleshow/114517434.cms?from=mdr,New product planning (budget brand),PepsiCo planned a budget ‘B‑brand’ ~15–20% cheaper than flagship Pepsi to blunt Campa's growth.,Neutral,Discounted,Standard,Standard,Yes ,Alternative offer (planned),0,NA,Neutral/Preventive,Neutral,Competitive,No,Planned defensive product to protect regional share.
FIND_003,FMCG,India,Coca‑Cola India,Reliance Consumer Products (Campa),2024-10-24,Business Standard / Economic Times,https://www.business-standard.com/companies/news/pepsico-coca-cola-eye-budget-soft-drinks-to-compete-with-reliance-s-campa-124102400218_1.html,Distribution & brand strategy,"Coca‑Cola expanded distribution of ₹10 returnable glass bottles and planned regional/heritage brand reintroductions (e.g., RimZim).",Neutral,Bundled,Standard,Bundle,Yes,Alternative products / distribution push,0,NA,Neutral,Neutral,Competitive,No,Tactical trade promotions rather than headline price cuts.
