event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes
EJP_ELEC_001,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,15-10-2018,Nikkei Asia,https://asia.nikkei.com/Business/Retail/Bic-Camera-points-campaign,Loyalty incentive,BIC increased point-back rates during autumn sale.,10% points,13% points,Standard,Standard,Yes,Matched points campaign,7,Neutral,Positive,Oligopoly,No,Loyalty-based competitive escalation.
EJP_ELEC_002,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,01-04-2019,Asahi Shimbun,https://www.asahi.com/articles/consumption-tax-retail.html,Price adjustment,Adjusted prices following Japan consumption tax hike.,Neutral,Neutral,Standard,Standard,Yes,Parallel price adjustment,14,Neutral,Neutral,Oligopoly,Yes,Tax-driven industry-wide adjustment.
EJP_ELEC_003,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,01-12-2019,Japan Times,https://www.japantimes.co.jp/business/bic-winter-sale,Price promotion,BIC launched winter discount sale across TVs/appliances.,Neutral,Neutral,Standard,Standard,Yes,Short-term discounting,10,Neutral,Positive,Oligopoly,No,Seasonal price rivalry.
EJP_ELEC_004,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,12-05-2020,Mainichi,https://mainichi.jp/articles/bic-online-covid,Channel expansion,Expanded online discounts/delivery during COVID lockdowns.,Neutral,Neutral,Standard,Home Delivery,No,Yodobashi retained logistics lead,N/A,Neutral,Positive,Oligopoly,No,Pandemic-led digital push.
EJP_ELEC_005,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,18-11-2020,Nikkei Asia,https://asia.nikkei.com/Bic-Black-Friday,Price promotion,BIC increased promotional discounts for Black Friday.,Neutral,Neutral,Standard,Standard,Yes,Promotional price matching,8,Neutral,Positive,Oligopoly,No,Imported sales-event competition.
EJP_ELEC_006,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,05-07-2021,Financial Times,https://www.ft.com/japan-retail-tourism,Loyalty incentive,Higher reward points for inbound tourists.,10% points,15% points,Standard,Standard,No,Yodobashi focused on domestic,N/A,Neutral,Positive,Oligopoly,No,Tourism-led differentiation.
EJP_ELEC_007,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,10-03-2022,Nikkei Asia,https://asia.nikkei.com/Bic-private-brand,Product strategy,Expanded private-label accessories to improve margins.,Premium,Budget,Low SKU,High SKU,No,Minimal immediate reaction,N/A,Neutral,Neutral,Oligopoly,No,Non-price differentiation.
EJP_ELEC_008,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,03-12-2022,Japan Times,https://www.japantimes.co.jp/bic-clearance,Price promotion,BIC launched year-end clearance discounts.,Neutral,Neutral,Standard,Standard,Yes,Promotional price matching,12,Neutral,Positive,Oligopoly,No,High-frequency seasonal promotions.
EJP_ELEC_009,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,20-08-2023,Nikkei Asia,https://asia.nikkei.com/Bic-mobile-app,Digital promotion,BIC promoted app-exclusive discount coupons.,Neutral,Discounted,Standard,Standard,Yes,Digital coupon rollout,15,Neutral,Positive,Oligopoly,No,Shift toward personalized promotions.
EJP_ELEC_010,Electronics Retail,Japan,BIC Camera,Yodobashi Camera,10-01-2024,Economic Times JP,https://economictimes.indiatimes.com/japan/bic-newyear,New Year promotion,Introduced New Year electronics bundles.,Neutral,Bundled,Standard,Bundle,Yes,Promotional response,10,Neutral,Positive,Oligopoly,No,New-year driven sales competition.
EJP_ELEC_011,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,20-11-2018,Nikkei Asia,https://asia.nikkei.com/Yodobashi-points,Loyalty incentive,Yodobashi increased reward points for year-end season.,10% points,13% points,Standard,Standard,Yes,Matched points campaign,7,Neutral,Positive,Oligopoly,No,Points-based competition dominant.
EJP_ELEC_012,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,15-06-2019,Japan Times,https://www.japantimes.co.jp/yodobashi-summer-sale,Price promotion,Summer electronics sale with selective discounts.,Neutral,Neutral,Standard,Standard,Yes,Discount response,10,Neutral,Positive,Oligopoly,No,Seasonal promotion.
EJP_ELEC_013,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,10-12-2019,Nikkei Asia,https://asia.nikkei.com/Yodobashi-winter,Price promotion,Intensified winter discounting across appliances.,Neutral,Neutral,Standard,Standard,Yes,Price matching,8,Neutral,Positive,Oligopoly,No,End-year rivalry.
EJP_ELEC_014,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,01-06-2020,Mainichi,https://mainichi.jp/yodobashi-delivery,Service enhancement,Expanded same-day delivery coverage.,Neutral,Neutral,Standard,Same-Day,Yes,Service upgrade,21,Increase (Yodobashi),Positive,Oligopoly,No,Service-based competition.
EJP_ELEC_015,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,30-11-2020,Nikkei Asia,https://asia.nikkei.com/Yodobashi-black-friday,Price promotion,Participated aggressively in Black Friday sales.,Neutral,Neutral,Standard,Standard,Yes,Promotional match,7,Neutral,Positive,Oligopoly,No,Global sales-event influence.
EJP_ELEC_016,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,12-09-2021,Japan Times,https://www.japantimes.co.jp/yodobashi-store-renewal,Store upgrade,Renovated flagship stores with experiential layouts.,Neutral,Neutral,Standard,Experiential,No,Brand perception improved,N/A,Neutral,Positive,Oligopoly,No,Experience-led differentiation.
EJP_ELEC_017,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,18-03-2022,Nikkei Asia,https://asia.nikkei.com/Yodobashi-private-label,Product strategy,Expanded private-label electronics accessories.,Premium,Budget,Low SKU,High SKU,No,Competitive price pressure,N/A,Neutral,Neutral,Oligopoly,No,Assortment-based strategy.
EJP_ELEC_018,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,05-12-2022,Japan Times,https://www.japantimes.co.jp/yodobashi-year-end,Price promotion,Ran aggressive year-end sales campaign.,Neutral,Neutral,Standard,Standard,Yes,Discount response,10,Neutral,Positive,Oligopoly,No,Seasonal pricing.
EJP_ELEC_019,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,25-06-2023,Nikkei Asia,https://asia.nikkei.com/Yodobashi-logistics,Logistics investment,Invested in warehouse automation/delivery speed.,NA,NA,Standard,High Speed,No,Service advantage strengthened,N/A,Increase (Efficiency),Positive,Oligopoly,No,Long-term competitive moat.
EJP_ELEC_020,Electronics Retail,Japan,Yodobashi Camera,BIC Camera,01-02-2024,Economic Times JP,https://economictimes.indiatimes.com/japan/yodobashi-digital,Digital promotion,Expanded app-based personalized offers.,Neutral,Neutral,Standard,Digital Offers,Yes,Digital promotion response,15,Neutral,Positive,Oligopoly,No,Data-driven promotions.
JPN_QSR_001,Food Service,Japan,Sukiya,Yoshinoya,10-07-2018,Nikkei Asia,https://asia.nikkei.com/Sukiya-price-cut,Price reduction,Sukiya reduced gyudon prices nationwide.,¥350,¥320,Standard,Standard,Yes,Price response,10,Increase (Sukiya),Positive,Oligopoly,No,Price-led volume strategy.
